20240901	18:25:32	26c368c0-b039-499d-8f78-9528301d2c6c	/	GET
20240901	18:25:32	de0b1fa9-1841-4394-a1a5-47ab2d9cc653	/css/style.css	GET
20240901	18:25:32	7161cb93-c6eb-4511-b3f4-9bc3ce249236	/favicon.ico	GET
20240901	22:58:13	c0cefd09-8972-4a58-b69f-fc559621b901	GET	undefined	/new-page.html
20240901	22:58:13	e2500c3b-29af-49b2-96d4-babfdb36be34	GET	undefined	/css/style.css
20240901	22:58:13	616aab5b-34ab-4db3-85f9-1b1263a19748	GET	undefined	/img/img1.jpg
20240901	23:04:59	6110cdea-7877-4bb5-b15c-2aab6005fdac	GET	undefined	/old-page
20240901	23:04:59	14237dda-982f-47a7-a47f-54272ef07608	GET	undefined	/new-page.html
20240901	23:04:59	3fdc4306-dd1f-4621-9602-7e773979562d	GET	undefined	/css/style.css
20240901	23:04:59	25087cf8-2170-48e1-afd3-02aa83114fec	GET	undefined	/img/img1.jpg
20240901	23:16:43	358f5834-a35d-46b7-9f8a-4e9ef8c5c52e	GET	undefined	/
20240901	23:16:43	515ffc70-39ab-4b78-b318-ab65f6f3db2d	GET	undefined	/css/style.css
20240901	23:22:34	72fe941c-4f48-4116-8364-c7af82b684db	GET	undefined	/
20240901	23:22:34	72b39529-ba83-4af2-a4ac-46f9cf42ee10	GET	undefined	/css/style.css
20240901	23:27:52	f9b95873-883f-4f28-bf7a-1c37c38c78ea	OPTIONS	https://www.google.com	/
20240901	23:27:52	03d108d6-87d9-4ac0-8aed-270a2eee4bad	GET	https://www.google.com	/
20240902	00:27:29	94b15cd7-9362-4c78-915a-4ca09cc8131d	GET	undefined	/
20240902	00:27:29	813a891d-aedc-4317-8f02-8588ca2e4bd2	GET	undefined	/css/style.css
20240902	00:40:43	ad0b3503-a985-4e48-9e5a-42c12539baa1	OPTIONS	https://www.google.com	/
20240902	00:40:43	c6dec3d0-c4ce-4991-be2b-7f9ab9f48a0f	GET	https://www.google.com	/
20240902	00:41:17	3dd51a0f-d9c3-4dd1-b42c-3fca16c8a22c	OPTIONS	https://www.google.com	/
20240902	00:41:17	3595230c-5558-4a8d-9b43-73e2e99797c8	GET	https://www.google.com	/
20240902	00:47:44	381daf4b-d11d-4ea0-9be3-d9e758ea6dde	GET	undefined	/
20240902	00:47:44	604e69a8-a1db-4f4b-8146-0b94fff55b9c	GET	undefined	/css/style.css
20240902	01:09:14	ee8b4ded-c84b-4808-890e-00680d3a86d6	GET	undefined	/
20240902	01:12:55	d3ae3016-2895-4d51-b9de-2df096c8e674	GET	undefined	/
20240902	01:13:41	66a457d9-acd9-4a72-b7b6-dfaecb14a955	GET	undefined	/
20240902	01:13:41	d7e20116-275c-461d-bff5-08ef0e5a0284	GET	undefined	/css/style.css
20240902	01:20:40	38c3215f-c949-4b68-a37d-9f4b1817f684	GET	undefined	/sdfs
20240902	01:20:40	7406654e-73ff-449f-ba43-b4bb700160cb	GET	undefined	/css/style.css
20240902	01:20:47	6156e749-4f7d-4682-a5a1-afbd167c2b5f	GET	undefined	/
20240902	01:20:47	6ec27f2d-57fd-426e-87f9-fd2e1ed68d75	GET	undefined	/css/style.css
20240902	13:21:47	6405c3b8-9823-472b-b21d-98fe7e39bd7d	GET	undefined	/subdir
20240902	13:21:52	4839652f-bff4-4ecb-abbf-5cd3ecd7d231	GET	undefined	/subdir/test
20240902	13:21:57	43ae91ff-0aa2-4182-923c-81fccc798e78	GET	undefined	/subdir/tdave
20240902	13:21:57	231f6f38-ba58-4af5-89d4-d97836b12bf8	GET	undefined	/subdir/css/style.css
20240902	13:30:35	448bbb52-1bbc-4cae-81e1-4de26e2c9742	GET	undefined	/subdir
20240902	13:30:35	c388f8a7-65bc-4a22-a210-a5af1a5d7a5d	GET	undefined	/subdir/
20240902	13:30:42	a14d14da-f27e-469c-a2b4-e62be444fc45	GET	undefined	/subdir/dave
20240902	13:30:42	a5b9c223-4e93-445a-a0d5-94bd171289b5	GET	undefined	/subdir/css/style.css
20240902	13:30:47	296d2b2b-7b30-402b-960a-464515cfd670	GET	undefined	/
20240902	13:30:47	19af74ce-c677-4b9a-9c24-de16bc768057	GET	undefined	/css/style.css
